model,metric,mean,std,folds
Baseline,accuracy,0.7342150252598014,0.0002607706361655165,5
Baseline,precision,0.0,0.0,5
Baseline,recall,0.0,0.0,5
Baseline,f1,0.0,0.0,5
Baseline,roc_auc,0.5,0.0,5
RandomForest,accuracy,0.8051764142101927,0.005981580458219127,5
RandomForest,precision,0.6768283674563887,0.01973754043404485,5
RandomForest,recall,0.5120371034107039,0.0029244306172909445,5
RandomForest,f1,0.5829103426737235,0.008540245923864606,5
RandomForest,roc_auc,0.8450165570875242,0.004212764119752027,5
